partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
3105	CDC25B	P30305	994	ENSG00000101224
3107	relA	Q54089	N/A	N/A
3108	rfbG	P26397	N/A	N/A
3109	phhA	P30967	N/A	N/A
3114	CD	P16006	N/A	N/A
3115	RAB9A	P51151	9367	ENSG00000123595
3116	bfr	Q93PP9	N/A	N/A
3117	dnrK	Q06528	N/A	N/A
3119	pilE1	P02974	N/A	N/A
3120	kdsB	P44490	N/A	N/A
3122	N/A	Q45515	N/A	N/A
3125	paiA	P21340	N/A	N/A
3126	PARP1	P09874	142	ENSG00000143799
3127	nirS	P24474	N/A	N/A
3130	L1	P17378	N/A	N/A
3132	trpA	P16608	N/A	N/A
3133	glf	P37747	N/A	N/A
3134	aroF	Q9WYH8	N/A	N/A
3137	fae	Q9FA38	N/A	N/A
3138	fabH	P0A574	N/A	N/A
3140	HN	P12564	N/A	N/A
3145	hyuA	Q8VTT5	N/A	N/A
3149	frr	P0A808	N/A	N/A
3152	cycA	Q9RQB9	N/A	N/A
3153	gdhB	P13650	N/A	N/A
3160	N/A	P26660	N/A	N/A
3163	cyp51	P0A512	N/A	N/A
3164	bioB	P12996	N/A	N/A
3165	gag-pol	P04584	N/A	N/A
3168	bla	P13661	N/A	N/A
3169	N/A	P00692	N/A	N/A
3170	tufB	P60339	N/A	N/A
3172	hylB	Q53591	N/A	N/A
3173	eno	Q8GR70	N/A	N/A
3175	gshA	P0A6W9	N/A	N/A
3176	PRSS1	P07477	5644	ENSG00000204983; ENSG00000261473
3177	rfbB	P26391	N/A	N/A
3178	pflB	P09373	N/A	N/A
3179	leuA	P96420	N/A	N/A
3180	SAP2	P28871	N/A	N/A
3183	aroQ	Q48255	N/A	N/A
3184	panB	P31057	N/A	N/A
3185	ACADM	P11310	34	ENSG00000117054
3186	CANT1	Q8WVQ1	124583	ENSG00000171302
3187	ompC	Q48473	N/A	N/A
3188	ispDF	Q9PM68	N/A	N/A
3189	hmcA	P24092	N/A	N/A
3190	glcB	P0A5J4	N/A	N/A
3191	hisD	P06988	N/A	N/A
3192	nagB	O35000	N/A	N/A
3193	glyA	Q5KUI2	N/A	N/A
3194	argG	P0A6E4	N/A	N/A
3195	bla	Q47066	N/A	N/A
3197	nudD	P32056	N/A	N/A
3199	coaD	P0A6I8	N/A	N/A
3200	hemC	P06983	N/A	N/A
3201	aroA	Q9S400	N/A	N/A
3204	glpE	P0A6V7	N/A	N/A
3205	icl	P0A5H3	N/A	N/A
3207	amyA	P26827	N/A	N/A
3209	odcI	P43099	N/A	N/A
3211	DCI	P42126	1632	ENSG00000167969
3215	abfA	Q9XBQ3	N/A	N/A
3216	ribH	P11998	N/A	N/A
3217	nadE	O25096	N/A	N/A
3220	aroQ	P15474	N/A	N/A
3221	cc4	Q52369	N/A	N/A
3224	mamA	Q05488	N/A	N/A
3225	stxB	P69178	N/A	N/A
3226	HI_1034	P44096	N/A	N/A
3228	fabI	O24990	N/A	N/A
3230	lhyD	P81006	N/A	N/A
3231	DAPK1	P53355	1612	ENSG00000196730
3233	NR1H4	Q96RI1	9971	ENSG00000012504
3237	bla	P0A1V8	N/A	N/A
3238	mexA	P52477	N/A	N/A
3240	N/A	Q8GBW6	N/A	N/A
3242	gag-pol	P05896	N/A	N/A
3244	nrdE	Q08698	N/A	N/A
3245	fucI	P69923	N/A	N/A
3247	xecC	Q56839	N/A	N/A
3249	katA	P29422	N/A	N/A
3254	putA	P09546	N/A	N/A
3257	arnA	P77398	N/A	N/A
3258	MSDC	P31723	N/A	N/A
3259	lytA	P06653	N/A	N/A
3260	N/A	P19711	N/A	N/A
3261	ffh	O07347	N/A	N/A
3262	ribH2	P61713	N/A	N/A
3265	bioF	P12998	N/A	N/A
3266	hisS	P60906	N/A	N/A
3270	fusA	P13551	N/A	N/A
3271	deoC	P0A6L0	N/A	N/A
